# EPA eGRID2023 data file, PLNT23 extract. 17 USC 105.
# Plants in AZNM, CAMX, ERCT, RFCE, RFCW, SRVC. Columns: orispl, subregion, net_gen_mwh, co2_tons.
orispl,subregion,net_gen_mwh,co2_tons
243,CAMX,22767,0
244,CAMX,6946,0
10882,CAMX,17789,0
56654,CAMX,248469,0
400,CAMX,2549666.9980000001,1183756.827
10253,CAMX,18534,0
59009,CAMX,58358,0
54689,AZNM,250141.99900000001,11106.325000000001
58398,AZNM,25521,0
59315,CAMX,134945,0
59316,CAMX,134444,0
59317,CAMX,116347,0
57831,CAMX,2517,0
62689,CAMX,3620,0
56275,CAMX,2676,0
55807,CAMX,3536,2255.0729999999999
58975,CAMX,234221,0
66492,CAMX,3272,0
59182,CAMX,3272,0
162,CAMX,2998,0
55518,CAMX,4075232,1745808.351
57977,CAMX,35660,13178.050999999999
50495,CAMX,23323,12391.022000000001
56075,CAMX,237719,0
58223,CAMX,5265.54,2450.8150000000001
59268,CAMX,3518,0
58300,CAMX,762,0
58452,CAMX,2924,0
64624,CAMX,285122,0
246,CAMX,425970,217746.08
50049,CAMX,119959,1591.866
57523,CAMX,31300,0
60960,CAMX,142430.00099999999,46699.650999999998
65091,CAMX,9021,0
66035,CAMX,4955,0
66039,CAMX,4198,0
58028,CAMX,2490,0
63414,CAMX,7479,0
61692,AZNM,3708,0
63603,CAMX,25303,0
57490,CAMX,277188,0
57491,CAMX,388297,0
59657,AZNM,38305,0
58062,AZNM,32879,0
56917,CAMX,346390,0
50129,CAMX,5909.0010000000002,0
55541,CAMX,26248.998,17082.748
57860,CAMX,860,0
58609,CAMX,4210,0
58086,CAMX,1418,0
58954,CAMX,1709,0
61152,CAMX,8681,0
60224,CAMX,7279,0
58513,CAMX,8239,0
58056,CAMX,2757,0
10139,CAMX,1492,0
58307,CAMX,5136,0
57074,CAMX,228928,26225.7
57073,CAMX,183799,20810
57075,CAMX,169971,8772.6
58216,CAMX,8892.9599999999991,0
63711,CAMX,8815,0
60947,CAMX,43190,0
249,CAMX,390129,0
65965,CAMX,28632,0
431,CAMX,670971,0
57475,AZNM,381186,16924.675999999999
534,CAMX,29068,0
442,CAMX,111388,0
58301,CAMX,5613,0
63712,CAMX,14380,0
63716,CAMX,5286,0
66142,CAMX,16351,0
66146,CAMX,33073,0
66148,CAMX,17655,0
62699,CAMX,10438,0
58128,CAMX,5343,0
62698,CAMX,16354,0
62701,CAMX,37353,0
58132,CAMX,2628,0
62700,CAMX,7599,0
10718,CAMX,29219,0
336,CAMX,693,0
10042,CAMX,21025.26,20510.055
59280,CAMX,3827,0
418,CAMX,64970,0
50494,CAMX,21964,13697.468000000001
58100,CAMX,35031,27953.668000000001
340,CAMX,166997,0
339,CAMX,184529,0
10496,CAMX,195429,66184.87
52107,CAMX,236287,68744.415999999997
63875,CAMX,619,0
443,CAMX,336162.99900000001,0
59098,CAMX,1568,0
59099,CAMX,1650,0
59633,CAMX,37659,0
58510,CAMX,2700,0
65199,CAMX,34355,0
55766,CAMX,66639,0
61628,CAMX,6743,0
55811,CAMX,12198,7416.7860000000001
10294,CAMX,56381,26279.774000000001
59868,CAMX,56170,0
60091,CAMX,55582,0
254,CAMX,206654,0
65033,CAMX,561.00099999999998,0
10405,CAMX,4576,2727.5650000000001
58304,CAMX,2790,0
57009,CAMX,1049,0
63758,CAMX,1621,0
56295,CAMX,145053,0
10720,CAMX,8762.18,4697.1899999999996
57836,CAMX,2687,0
440,CAMX,8213,0
58118,CAMX,80,0
55151,CAMX,2285796,1038455.385
63527,CAMX,2730,0
63623,CAMX,2396,0
58960,CAMX,14190,764.34699999999998
7987,CAMX,9571,5941.5429999999997
66242,CAMX,1958,0
64676,CAMX,13109,0
6644,CAMX,3768,0
7489,CAMX,11060,0
55626,CAMX,14257.002,9179.0419999999995
62056,CAMX,8470,0
58634,CAMX,957,0
58750,CAMX,9385,0
59262,CAMX,7925,0
59167,CAMX,1650,0
59169,CAMX,2619,0
59739,CAMX,5045,0
65464,CAMX,9175,0
55542,CAMX,38726,24384.821
64264,CAMX,6653,0
58963,CAMX,1562,0
61792,CAMX,1782,0
60142,CAMX,232,0
62274,CAMX,2335,0
66145,CAMX,9932,0
59279,CAMX,7966,0
58302,CAMX,7575,0
57988,CAMX,28843.998,2E-3
65382,CAMX,6431,0
60060,CAMX,4641,0
60984,CAMX,3464,0
58308,CAMX,5333,0
62463,CAMX,27048,0
62464,CAMX,60331,0
62465,CAMX,112518,0
59870,CAMX,70527,0
60026,CAMX,8264,0
54768,CAMX,28401,12528.299000000001
66699,CAMX,97343,0
10444,CAMX,100820,0
7451,CAMX,546,571.58699999999999
57978,CAMX,1112510,469564.288
10206,CAMX,46005,16316.148999999999
58417,CAMX,23773,0
59237,CAMX,49828,0
341,CAMX,10112,10258.93
60485,CAMX,25102,0
432,CAMX,126372,0
57314,CAMX,2259,0
54451,CAMX,384088,118114.755
55748,CAMX,179539,97159.854000000007
55217,CAMX,3062096,1209641.476
10708,CAMX,5474,0
52077,CAMX,2623,1004.996
66733,CAMX,4425,0
58711,CAMX,77113,0
64909,CAMX,127211,0
342,CAMX,11343,0
58914,CAMX,41289.999000000003,12791.214
55161,CAMX,26372,0
55094,CAMX,35880,0
55160,CAMX,9741,0
54015,CAMX,39940,276.79599999999999
54567,CAMX,17944.999,0
58451,CAMX,4165,0
57308,CAMX,901,0
59409,CAMX,2454,0
61421,CAMX,2714,0
58522,CAMX,1126,0
56046,CAMX,1475713,672946.38199999998
56239,CAMX,9921,6639.1559999999999
56041,CAMX,315797,162317.27600000001
