# EPA eGRID2023 Revision 2 PLNT23 extract. 17 USC 105.
# Official plant population, all 27 eGRID subregions.
# Columns: orispl, subregion, net_gen_mwh (PLNGENAN), co2_tons (PLCO2AN).
# Blank PLCO2AN stored as 0 so zero-carbon plants stay in the denominator.
# Negative PLNGENAN kept (Rev 2 correction). Plants with blank PLNGENAN omitted.
# Source: egrid2023_data_rev2.xlsx PLNT23, released 2025-06-12.
orispl,subregion,net_gen_mwh,co2_tons
60603,AZNM,8346,0
60654,AZNM,429263,0
60684,AZNM,2030,0
60685,AZNM,2717.999,0
60696,AZNM,15760,0
60744,AZNM,6994,0
60745,AZNM,5309,0
60768,AZNM,2813817,1204834.183
60785,AZNM,367757,0
60792,AZNM,29975,0.001
60822,AZNM,10667,0
60825,AZNM,156281,0
60885,AZNM,126011,0
60964,AZNM,55339,0
60996,AZNM,4588,0
61044,AZNM,1076276,0
61104,AZNM,1556,0
61165,AZNM,5320,0
61193,AZNM,1403,0
61197,AZNM,-341,0
61199,AZNM,618,0
61272,AZNM,137974,0
61418,AZNM,4321,0
61556,AZNM,25962,0
61557,AZNM,27059,0
61558,AZNM,26877,0
61611,AZNM,193529,0
61662,AZNM,1507,0
61678,AZNM,55171,0
61682,AZNM,2722,0
61683,AZNM,1628,0
61692,AZNM,3708,0
61825,AZNM,2878,0
61852,AZNM,856600,0
61861,AZNM,0,0
61862,AZNM,3652,0
61912,AZNM,558384,0
61913,AZNM,0,0
61925,AZNM,178224,0
61930,AZNM,535932,0
61931,AZNM,55417,0
61932,AZNM,59018,0
62052,AZNM,64581,0
62075,AZNM,2404,0
62149,AZNM,2302,0
62191,AZNM,5513,0
62248,AZNM,630186,0
62406,AZNM,13741,0
62440,AZNM,121224,0
62467,AZNM,27419,0
62597,AZNM,27806,0
62643,AZNM,2632.998,0
62756,AZNM,2058,0
62899,AZNM,253726,0
62994,AZNM,6750,0
62995,AZNM,12159,0
63001,AZNM,17710,0
63080,AZNM,290269,0
63081,AZNM,26657,0
63082,AZNM,26300,0
63114,AZNM,961409,0
63123,AZNM,8191,0
63124,AZNM,3781,0
63125,AZNM,4013,0
63172,AZNM,149260,0
63184,AZNM,25579,0
63349,AZNM,81879,0
63391,AZNM,2643,0
63476,AZNM,263275,0
63477,AZNM,5965,0
63487,AZNM,29670,0
63491,AZNM,157172,0
63502,AZNM,551841,0
63504,AZNM,672818,0
63531,AZNM,3050,0
63554,AZNM,17110,0
63578,AZNM,2139460,0
63579,AZNM,140729,0
63728,AZNM,38845,0
63860,AZNM,141255,0
63913,AZNM,521891,0
63981,AZNM,1163277,0
64054,AZNM,1064009,0
64065,AZNM,363168,0
64066,AZNM,837187,0
64076,AZNM,146003,0
64148,AZNM,244519,0
64267,AZNM,7074,0
64384,AZNM,5282,0
64404,AZNM,8058,0
64426,AZNM,269179,0
64441,AZNM,8259,0
64519,AZNM,18147,0
64521,AZNM,17816,0
64566,AZNM,263726,0
64580,AZNM,6265,0
64638,AZNM,278392,0
64695,AZNM,7941,0
64881,AZNM,7677,0
64903,AZNM,6025,0
65103,AZNM,132546,0
65185,AZNM,1702,0
65773,AZNM,51828,0
65956,AZNM,29839,0
65963,AZNM,54872,0
65972,AZNM,33506,0
66001,AZNM,235585,0
66098,AZNM,86,0
66099,AZNM,1009,0
66125,AZNM,276469,0
66163,AZNM,15131,0
66287,AZNM,50872,0
66408,AZNM,266373,0
66627,AZNM,90865,0
66716,AZNM,-2948,0
66925,AZNM,0,0
34,CAMX,73093,0
72,CAMX,0,0
104,CAMX,-1140,0
151,CAMX,1254,2033.519
161,CAMX,5676.999,0
162,CAMX,2998,0
